category,question,answer,source
보험금청구,보험금은 어떻게 청구하나요?,앱 또는 콜센터로 청구서와 증빙서류를 제출하면 영업일 기준 3~5일 내 심사 후 지급됩니다.,AIHub(합성예시)
보험금청구,실손 보험금 청구에 필요한 서류는 무엇인가요?,"진료비 영수증과 진료비 세부내역서, 진단명이 포함된 서류가 필요하며 30만원 초과 시 추가 서류가 요구될 수 있습니다.",AIHub(합성예시)
계약조회,내 보험 계약 내용은 어디서 확인하나요?,본인 인증 후 마이페이지의 '계약 조회'에서 보장내용과 납입 내역을 확인할 수 있습니다.,AIHub(합성예시)
자동이체,보험료 자동이체 출금일을 바꾸고 싶어요.,마이페이지 '납입 정보'에서 출금일과 출금 계좌를 변경할 수 있으며 변경은 익월부터 적용됩니다.,AIHub(합성예시)
해지환급금,지금 해지하면 얼마를 돌려받나요?,해지환급금은 상품과 경과기간에 따라 달라 정확한 금액은 상담사 확인이 필요합니다.,AIHub(합성예시)
비밀번호,홈페이지 비밀번호를 잊어버렸어요.,로그인 화면의 '비밀번호 찾기'에서 본인 인증 후 재설정할 수 있습니다.,AIHub(합성예시)
증명서,납입증명서를 발급받고 싶어요.,마이페이지 '증명서 발급'에서 납입증명서와 보험료 납입내역서를 PDF로 발급할 수 있습니다.,AIHub(합성예시)
수익자변경,보험 수익자를 변경할 수 있나요?,계약자 본인이 신분증과 함께 영업점 방문 또는 앱에서 수익자 변경을 신청할 수 있으며 피보험자 동의가 필요할 수 있습니다.,AIHub(합성예시)
납입유예,보험료가 부담되어 잠시 납입을 미루고 싶어요.,보험료 납입유예 또는 감액 제도가 있을 수 있으며 상품별 조건이 달라 상담사 안내가 필요합니다.,AIHub(합성예시)
보장범위,이 특약은 어떤 경우에 보장되나요?,보장 범위와 면책 사유는 약관에 따라 다르므로 정확한 내용은 약관과 상담사를 통해 확인해야 합니다.,AIHub(합성예시)
민원접수,불만 사항을 정식으로 접수하고 싶어요.,콜센터 또는 홈페이지 '민원 접수'에서 접수할 수 있으며 접수 후 처리 경과를 문자로 안내합니다.,AIHub(합성예시)
콜센터,상담사와 통화하려면 어떻게 하나요?,콜센터 1588-0000으로 전화하면 평일 09시~18시 상담사 연결이 가능합니다.,AIHub(합성예시)
주소변경,이사를 했는데 주소를 바꾸려면요?,마이페이지 '고객정보 변경'에서 주소를 변경할 수 있으며 우편물 수령지에 반영됩니다.,AIHub(합성예시)
청구지연,보험금 지급이 늦어지는 이유가 궁금해요.,서류 보완이나 추가 심사가 필요한 경우 지급이 지연될 수 있으며 진행 상태는 마이페이지에서 확인됩니다.,AIHub(합성예시)
보장개시,가입 후 언제부터 보장이 시작되나요?,책임개시일은 보통 제1회 보험료 납입일이며 일부 보장은 면책기간 이후 시작됩니다.,AIHub(합성예시)
